sessionId (id),page (text),latency (int),timeOnPage (float)
b7fddf00,explore,98,94.777
38bc1af6,explore,139,161.996
b5da8408,welcome,7,36.04
38d9e91d,query,17,464.865
38a271d8,query,28,339.003
b95624a3,query,18,304.633
37b3f54d,explore,530,91.64
b821442d,welcome,7,27.051
35c5412f,query,17,335.628
b8083d73,explore,22,117.285
3794ed75,explore,215,121.914
3884d3b8,query,116,342.598
b88659dd,explore,153,182.432
38b09a88,query,24,425.627
394107ce,welcome,16,25.072
b63335a2,,57,
37cca1bf,explore,79,76.366
b8b0e081,welcome,112,36.347
b8bff102,,102,
b8c172c6,welcome,109,22.422
b8083d73,query,17,333.554
35cfb7c7,query,148,345.539
38e2c522,welcome,7,27.491
39185800,explore,44,84.178
39048856,,90,
b7599dee,query,130,330.91
b97b1f52,welcome,53,36.918
388c423e,welcome,17,20.998
38d9e91d,welcome,33,18.632
385d4712,index,46,41.338
b7cf0af2,welcome,49,22.45
b7dba582,explore,22,68.95
3825c62e,query,94,395.759
b8acdbe3,query,76,314.504
b7e1c8a3,welcome,20,39.323
38071ebe,query,17,426.809
b9069c73,query,17,449.968
381dc512,query,47,372.109
b7150245,welcome,8,22.455
379b1d53,welcome,109,30.723
b99b685a,explore,143,132.313
381e9853,,16,
3911c751,query,295,268.261
b957115e,explore,299,124.285
b817c50e,query,47,434.521
39463fd5,welcome,31,38.697
b8997f4c,query,180,469.675
38498b7e,query,130,463.722
b8656837,explore,36,83.245
b98ba0ac,query,42,324.52
3867b4fa,query,184,383.829
387347f1,welcome,12,36.709
b8c83caf,welcome,47,28.544
384ccca7,query,17,437.372
3882b813,query,138,433.217
37dd5930,explore,101,87.168
379b1d53,query,19,325.237
388d08f0,query,122,385.224
3861d537,query,358,415.837
3472f217,welcome,47,21.422
b874f71a,welcome,50,47.189
37a6168f,query,148,278.645
37921011,index,4,40.089
394857b7,explore,90,89.661
37e627d2,explore,90,145.633
b9058a3a,,22,
38a7586c,,119,
b8660f88,index,24,41.628
b7c6f37d,query,211,399.535
b94a5b1f,query,73,313.055
38a2afc1,,31,
b7b11343,welcome,29,28.301
389a5a09,explore,43,175.442
b7d41379,explore,70,78.801
396a04f5,explore,47,104.052
b9166fd4,explore,89,93.282
3858424d,query,86,285.132
b826784b,query,56,394.523
382533f1,explore,78,171.027
3431e690,query,32,458.327
3912716d,welcome,93,24.948
b7e9cf39,query,222,280.736
38be11d8,explore,138,187.146
b8d1dabb,welcome,16,28.96
b9322811,query,52,362.012
387347f1,explore,22,98.596
b743e5c6,welcome,7,40.518
38a9f6f5,query,248,400.355
38a9f6f5,explore,123,131.484
b9071e0f,,56,
35b444af,query,265,289.947
379141c9,,27,
b98ba0ac,welcome,33,39.028
37f37c41,query,35,326.831
38826074,explore,99,100.005
38ef3cac,explore,22,110.126
b8aff57d,query,17,368.05
37f9de59,explore,348,60.866
38d87afe,query,34,358.308
38a53e49,explore,26,132.877
